symbol,slope,normalized_slope,lookback
AVROIND.NS,-0.0199,0.00159,80
BBTC.NS,-1.7389,0.00096,260
BTML.NS,-0.0069,0.00087,260
CANFINHOME.NS,-0.6466,0.00073,120
EMAMILTD.NS,-0.7587,0.00143,260
GUJGASLTD.NS,-0.4442,0.00106,260
HAVELLS.NS,-1.3328,0.00092,260
HDFCBANK.NS,-0.7364,0.00078,260
INDIGO.NS,-5.815,0.0011,260
KFINTECH.NS,-1.1508,0.00107,260
KOTAKBANK.NS,-0.3762,0.00092,160
MAHLIFE.NS,-0.2761,0.00075,180
MHRIL.NS,-0.4481,0.00141,260
MPHASIS.NS,-1.6219,0.00062,260
PGHH.NS,-16.03,0.00128,260
REDINGTON.NS,-0.2153,0.00082,260
SIRCA.NS,-0.424,0.0009,180
SUNDRMFAST.NS,-0.7491,0.00079,260
TBZ.NS,-0.259,0.0015,260
UNITDSPR.NS,-1.0429,0.00076,140
VENTIVE.NS,-0.4249,0.00059,260
