symbol,slope,normalized_slope,lookback
ORICONENT.NS,-0.0969,0.00154,120
OSWALSEEDS.NS,-0.0235,0.00196,120
SALONA.NS,-0.2791,0.00103,80
TFL.NS,-0.0126,0.00102,100
