symbol,slope,lookback,reaction_expansion
AUTOAXLES.NS,-2.163,100,True
CENTRALBK.NS,-0.0205,160,False
ESCORTS.NS,-2.3678,200,False
GICHSGFIN.NS,-0.1781,260,False
GILLETTE.NS,-8.5678,80,False
MHLXMIRU.NS,-0.2175,260,False
RAMCOCEM.NS,-0.967,120,False
RELTD.NS,-0.1331,180,False
UCOBANK.NS,-0.0221,260,True
