symbol,trigger_type
NILKAMAL.NS,B
NITINSPIN.NS,C
NURECA.NS,B
OBCL.NS,B
OBEROIRLTY.NS,B
OMINFRAL.NS,B
ONELIFECAP.NS,B
OPTIEMUS.NS,A
ORICONENT.NS,A
OSWALSEEDS.NS,B
PAR.NS,B
PASHUPATI.NS,B
PNB.NS,B
PNCINFRA.NS,B
POLYPLEX.NS,B
POONAWALLA.NS,B
PRESTIGE.NS,B
PRITIKAUTO.NS,C
PROZONER.NS,B
PTCIL.NS,B
RAINBOW.NS,B
RAJSREESUG.NS,B
RATNAVEER.NS,B
RECLTD.NS,B
REDTAPE.NS,B
RELAXO.NS,B
RELTD.NS,B
RHIM.NS,B
RICOAUTO.NS,B
RITCO.NS,B
ROHLTD.NS,C
RPEL.NS,C
RPSGVENT.NS,B
SAGCEM.NS,B
SALONA.NS,A
SANGAMIND.NS,B
SAPPL.NS,A
SARDAEN.NS,B
SAREGAMA.NS,A
SARLAPOLY.NS,B
SBGLP.NS,B
SCODATUBES.NS,C
SESHAPAPER.NS,B
SHADOWFAX.NS,B
SHAILY.NS,A
SHANTI.NS,B
SHARDAMOTR.NS,A
SHAREINDIA.NS,B
SHRADHA.NS,B
SHREEPUSHK.NS,B
SIGIND.NS,C
SIKKO.NS,B
SMLT.NS,C
SNOWMAN.NS,C
SREEL.NS,B
STAR.NS,B
STARTECK.NS,C
STYLAMIND.NS,B
SUNDROP.NS,A
SVLL.NS,A
SYSTMTXC.NS,B
TBZ.NS,B
TCIFINANCE.NS,B
TCS.NS,B
TECILCHEM.NS,A
TFL.NS,A
THACKER.NS,B
THEINVEST.NS,B
TIIL.NS,B
TIMETECHNO.NS,A
TIPSFILMS.NS,C
UNIVASTU.NS,A
UYFINCORP.NS,B
VAIBHAVGBL.NS,B
VENTIVE.NS,B
VIDYAWIRES.NS,B
VLSFINANCE.NS,B
VOLTAMP.NS,B
WILLAMAGOR.NS,B
WIPL.NS,B
WORTHPERI.NS,B
WPIL.NS,B
XTGLOBAL.NS,C
YASHO.NS,B
ZEEL.NS,A
ZFCVINDIA.NS,B
