symbol,trigger_type,close,volume
GULFOILLUB.NS,B,952.2,10464
GRANULES.NS,B,746.0,173910
INSECTICID.NS,B,709.4,2739
INFY.NS,B,1122.0,3962086
IMPAL.NS,B,1030.2,128
ICIL.NS,B,285.0,25936
SBFC.NS,B,95.4,3794321
SARDAEN.NS,B,523.65,281005
SAMMAANCAP.NS,B,174.6,24969139
SAMBHV.NS,B,109.64,661996
SAILIFE.NS,B,1216.4,468762
RVHL.NS,B,46.53,34918
GODREJCP.NS,B,1038.2,94221
GMRAIRPORT.NS,B,98.07,1654574
GMMPFAUDLR.NS,B,894.0,7416
HIMATSEIDE.NS,B,78.55,393295
HCLTECH.NS,B,1138.9,1475545
HCC.NS,B,21.83,28431853
5PAISA.NS,B,325.2,22320
AADHARHFC.NS,B,515.1,3191119
AARVI.NS,B,141.9,31855
ABCAPITAL.NS,B,375.9,11199442
ABCOTS.NS,B,238.57,56215
VOLTAMP.NS,B,9418.0,12542
VISAKAIND.NS,B,76.13,55916
VIPIND.NS,B,302.1,242186
NEWGEN.NS,B,477.3,2129413
NEPHROPLUS.NS,B,622.95,413582
NAZARA.NS,B,297.4,24190997
NAVINFLUOR.NS,B,6965.5,17914
WENDT.NS,B,6969.0,1883
WELSPUNLIV.NS,B,136.75,605088
WEL.NS,B,102.8,162566
WEIZMANIND.NS,B,84.4,358
WAKEFIT.NS,B,129.08,1182594
VTL.NS,B,614.9,125903
WELINV.NS,A,1760.4,183
WIPRO.NS,A,190.79,5617058
ADANIPOWER.NS,A,231.76,46115820
NATCOPHARM.NS,A,1217.7,242056
NAUKRI.NS,A,944.1,278262
NAVA.NS,A,717.4,262191
VBL.NS,A,508.45,1236016
VIPCLOTHNG.NS,A,27.14,257456
VSSL.NS,A,281.9,25416
ACUTAAS.NS,A,3246.2,340557
ABSLAMC.NS,A,1180.6,443139
AARTECH.NS,A,50.25,208445
63MOONS.NS,A,670.45,68504
ZYDUSLIFE.NS,A,1010.65,668852
HDFCAMC.NS,A,2725.0,102602
HDFCBANK.NS,A,777.0,5874715
HDFCLIFE.NS,A,617.45,296883
HEROMOTOCO.NS,A,5107.5,104983
HIRECT.NS,A,965.3,132528
HONASA.NS,A,361.85,425670
HONAUT.NS,A,29110.0,642
ICICIBANK.NS,A,1249.9,2231333
GNFC.NS,A,527.1,487687
GOODLUCK.NS,A,1366.1,62431
SAKAR.NS,A,803.6,53400
ICRA.NS,A,5416.5,1789
INDHOTEL.NS,A,653.35,404833
INDIANB.NS,A,838.25,608385
INDIGO.NS,A,4295.5,95685
INGERRAND.NS,A,4349.2,1430
GREENLAM.NS,A,232.52,57817
GRINDWELL.NS,A,1838.1,18322
GROWW.NS,A,190.22,8744794
HALDYNGL.NS,A,108.2,1822
SETL.NS,A,186.11,1112956
SHK.NS,A,140.07,473873
KRISHIVAL.NS,A,369.5,2872
IPCALAB.NS,A,1622.9,361317
ISGEC.NS,A,1076.7,11768
ITC.NS,A,308.7,1874222
IVALUE.NS,A,245.65,6995
JKCEMENT.NS,A,5534.5,5474
RPTECH.NS,A,750.65,4217460
RUPA.NS,A,160.76,191076
SHREEPUSHK.NS,A,396.0,32285
SIEMENS.NS,A,3759.6,339876
SINCLAIR.NS,A,79.92,47745
SMARTLINK.NS,A,169.37,1479
GANDHAR.NS,A,145.72,87815
GANGESSECU.NS,A,132.39,1315
GARFIBRES.NS,A,631.0,5375
GICL.NS,A,40.39,95348
GLENMARK.NS,A,2356.6,76942
GLOSTERLTD.NS,A,675.0,1265
LICI.NS,A,810.35,518858
LUPIN.NS,A,2297.9,498482
RAINBOW.NS,A,1316.5,34346
RALLIS.NS,A,267.95,49247
JUBLINGREA.NS,A,746.6,43751
KARURVYSYA.NS,A,294.95,595370
KOTAKBANK.NS,A,389.2,4260645
SPECTRUM.NS,A,1805.0,24301
STARHEALTH.NS,A,580.25,2848303
STOVEKRAFT.NS,A,694.25,121332
SUKHJITS.NS,A,172.24,4989
SUNCLAY.NS,A,1339.5,3794
ESCORTS.NS,A,3000.6,27141
EXCELINDUS.NS,A,987.0,640
MEDICO.NS,A,43.75,29433
MHRIL.NS,A,234.23,39352
MIDWESTLTD.NS,A,1329.1,5722
PAGEIND.NS,A,36585.0,2097
PATANJALI.NS,A,455.65,469220
KRITIKA.NS,A,6.25,28309
LALPATHLAB.NS,A,1624.6,68579
LGEINDIA.NS,A,1582.0,68954
FERMENTA.NS,A,298.75,1506
DIVISLAB.NS,A,6925.0,39002
DRREDDY.NS,A,1322.3,673317
EICHERMOT.NS,A,7090.0,69712
ELGIEQUIP.NS,A,531.15,55586
ELGIRUBCO.NS,A,50.65,6713
SUNDRMFAST.NS,A,878.55,102577
SUNTECK.NS,A,326.1,268420
SUPRIYA.NS,A,932.2,129230
DEEPAKFERT.NS,A,1332.4,94459
DIACABS.NS,A,196.55,6814096
NSLNISP.NS,A,45.49,3522318
NYKAA.NS,A,274.4,939913
ONEPOINT.NS,A,61.39,172934
ORIENTCER.NS,A,41.76,6611
MANGLMCEM.NS,A,892.85,28318
MANKIND.NS,A,2518.8,272960
MARKOLINES.NS,A,169.97,260750
MARKSANS.NS,A,208.81,645360
MAXHEALTH.NS,A,1055.95,229478
MCX.NS,A,3406.2,1188335
CHALET.NS,A,770.35,41799
CMSINFO.NS,A,305.0,338540
COLPAL.NS,A,2160.2,29241
