symbol,slope,lookback,absorption_score
AHLEAST.NS,0.1757,140,1
APOLLOHOSP.NS,6.6478,120,1
ARVIND.NS,0.3398,220,1
ATGL.NS,1.5148,80,1
ATUL.NS,5.7841,160,1
BAJAJCON.NS,1.0767,260,1
CGCL.NS,0.2553,80,2
CIEINDIA.NS,0.2575,220,2
COASTCORP.NS,0.0707,260,1
CUMMINSIND.NS,7.9764,260,1
DELHIVERY.NS,0.5528,120,1
DLINKINDIA.NS,0.9353,80,1
DMCC.NS,0.9715,80,1
ELGIEQUIP.NS,1.0006,100,1
ENGINERSIN.NS,0.3102,140,1
GHCLTEXTIL.NS,0.1171,120,1
HATSUN.NS,0.8879,80,1
HEXATRADEX.NS,0.0932,80,2
HINDALCO.NS,1.6564,260,1
IGIL.NS,0.3386,100,2
IGPL.NS,1.2468,80,2
JAGSNPHARM.NS,0.5987,80,2
JKPAPER.NS,0.6555,80,2
JSWENERGY.NS,0.5905,120,1
KCPSUGIND.NS,0.0541,80,1
NAVINFLUOR.NS,9.5513,260,1
OLECTRA.NS,3.6062,80,1
ONGC.NS,0.1772,260,1
PRAKASH.NS,0.3091,80,2
RISHABH.NS,1.1038,100,1
SAIL.NS,0.2037,260,1
SOMANYCERA.NS,0.8999,80,1
SONACOMS.NS,0.3845,240,2
SPAL.NS,1.2778,100,1
SUNCLAY.NS,1.8021,120,1
SUNPHARMA.NS,1.8,80,1
VENUSPIPES.NS,3.8802,80,2
WIPL.NS,0.0812,100,2
YATHARTH.NS,1.6727,100,1
