symbol,ps_date,lookback,poc,third_low,absorption_score
ADOR.NS,2025-07-16,320,1059.93,1076.5,2
ALOKINDS.NS,2025-12-24,200,14.26,13.12,2
APOLSINHOT.NS,2025-11-10,200,1194.17,1207.8,2
BANSWRAS.NS,2025-09-25,200,114.89,117.72,1
BECTORFOOD.NS,2025-09-09,320,227.92,246.14,2
BIRLAMONEY.NS,2025-11-17,160,136.52,142.33,2
BLUESTARCO.NS,2025-10-07,320,1794.81,1708.0,3
BOMDYEING.NS,2025-11-11,160,121.8,128.78,3
BSOFT.NS,2025-07-03,320,393.83,423.1,1
CAMLINFINE.NS,2025-10-10,220,138.43,143.88,2
CENTEXT.NS,2026-02-02,120,20.39,20.88,3
CINELINE.NS,2025-09-18,320,86.6,83.71,1
CONTROLPR.NS,2025-12-22,140,648.38,620.55,2
CREATIVEYE.NS,2026-02-05,220,6.73,6.93,2
DBCORP.NS,2025-09-16,320,239.19,258.55,2
DEVYANI.NS,2025-10-08,320,128.96,133.16,1
EMUDHRA.NS,2026-02-02,100,450.97,489.4,3
ESAFSFB.NS,2025-11-10,320,26.62,26.88,3
ESCORTS.NS,2025-12-31,320,3327.71,3203.4,2
GINNIFILA.NS,2025-11-17,240,39.68,41.57,3
HCC.NS,2025-10-29,220,19.65,21.74,2
HCLTECH.NS,2025-03-11,320,1498.44,1633.0,3
HLVLTD.NS,2025-10-15,180,8.58,8.75,3
HTMEDIA.NS,2025-11-12,320,22.09,23.43,3
HYUNDAI.NS,2025-12-29,320,1976.0,2164.3,1
IITL.NS,2025-03-13,320,167.54,169.51,2
INDIGO.NS,2025-11-07,320,4773.63,5018.0,3
INFY.NS,2025-03-18,320,1453.61,1543.0,2
JAYAGROGN.NS,2025-10-09,320,197.62,202.43,3
JKIL.NS,2025-11-03,320,532.02,574.95,3
JOCIL.NS,2026-01-01,180,122.01,122.38,3
JYOTICNC.NS,2026-02-16,100,744.72,721.85,1
KANANIIND.NS,2025-07-29,260,1.75,1.78,3
KICL.NS,2026-02-12,120,4694.16,4744.5,2
KOHINOOR.NS,2025-10-15,320,26.14,26.1,1
KOLTEPATIL.NS,2025-07-01,280,405.85,425.35,2
LAOPALA.NS,2025-11-11,180,191.14,199.37,2
LMW.NS,2025-07-28,320,14562.58,14173.0,1
LODHA.NS,2025-06-25,320,1023.05,1192.3,1
MANALIPETC.NS,2026-02-12,120,50.36,52.95,3
MANORAMA.NS,2025-12-19,320,1359.06,1313.0,2
MIDHANI.NS,2025-11-10,320,355.28,375.95,1
MIRZAINT.NS,2025-12-29,320,35.14,35.56,2
MTNL.NS,2025-11-11,200,32.26,36.0,2
NBIFIN.NS,2025-10-31,180,2016.41,2208.0,3
NDGL.NS,2025-12-29,120,2571.89,2516.3,3
NDL.NS,2025-11-28,200,2.73,2.86,2
NRL.NS,2025-12-23,140,52.69,54.66,2
NUVAMA.NS,2025-08-13,320,1384.32,1394.5,2
OLAELEC.NS,2025-11-10,160,34.58,35.79,1
ORIENTPPR.NS,2025-12-19,140,18.27,18.63,1
PGHH.NS,2025-12-31,140,10364.21,10604.0,3
RAMCOSYS.NS,2025-12-31,320,470.36,402.85,1
RELIANCE.NS,2025-12-19,320,1403.78,1409.5,1
ROHLTD.NS,2026-01-01,140,342.28,362.85,2
SAMHI.NS,2025-12-23,200,158.49,165.74,2
SHAHALLOYS.NS,2025-07-28,320,69.19,73.85,2
SHAILY.NS,2025-07-10,320,2224.93,2477.4,2
SMARTLINK.NS,2025-03-10,320,151.29,151.0,2
SOUTHBANK.NS,2026-01-01,320,40.29,38.6,3
STERTOOLS.NS,2025-12-19,140,224.06,245.34,2
TCS.NS,2025-06-16,320,2915.79,2888.4,2
TTKHLTCARE.NS,2025-12-24,320,902.64,811.4,2
UCAL.NS,2025-08-04,320,120.87,135.98,1
UNITECH.NS,2025-11-26,220,4.98,5.16,1
VAKRANGEE.NS,2026-01-20,120,6.41,6.91,2
VOLTAS.NS,2025-04-04,320,1345.68,1340.2,2
