symbol,slope,normalized_slope,lookback
EICHERMOT.NS,7.0352,0.00098,80
FLUOROCHEM.NS,6.9499,0.00197,120
GKWLIMITED.NS,3.7065,0.0022,80
GRASIM.NS,6.2232,0.00213,100
IDFCFIRSTB.NS,0.1634,0.00231,100
JGCHEM.NS,0.6033,0.00159,160
KOTAKBANK.NS,0.332,0.00087,80
NDLVENTURE.NS,0.2168,0.00175,100
RAINBOW.NS,2.9374,0.00229,120
SREEL.NS,0.5158,0.00266,80
