symbol,slope,lookback,absorption_score
AHLEAST.NS,0.1757,140,1
APOLLOHOSP.NS,6.6478,120,3
ASTERDM.NS,0.8944,120,2
ATGL.NS,1.5148,80,1
ATUL.NS,5.7841,160,1
BAJAJHIND.NS,0.0474,80,1
BEPL.NS,0.225,80,1
CENTUM.NS,4.5059,140,1
CGCL.NS,0.2553,80,2
CIEINDIA.NS,0.2575,220,2
COASTCORP.NS,0.0707,260,1
CUMMINSIND.NS,7.9764,260,2
DELHIVERY.NS,0.5528,120,1
DLINKINDIA.NS,0.9353,80,2
ELGIEQUIP.NS,1.0006,100,3
ENGINERSIN.NS,0.3102,140,2
GANDHITUBE.NS,1.1526,120,2
HATSUN.NS,0.8879,80,1
HEXATRADEX.NS,0.0932,80,1
HINDALCO.NS,1.6564,260,1
IGIL.NS,0.3386,100,3
IGPL.NS,1.2468,80,2
JAGSNPHARM.NS,0.5987,80,3
JKPAPER.NS,0.6555,80,2
KCPSUGIND.NS,0.0541,80,3
MEDPLUS.NS,0.4458,180,1
NATCOPHARM.NS,1.1222,200,1
OLECTRA.NS,3.6062,80,3
PONNIERODE.NS,0.4507,100,1
POWERGRID.NS,0.2333,160,1
PRAKASH.NS,0.3091,80,1
RISHABH.NS,1.1038,100,1
SANOFICONR.NS,8.9925,80,1
SHRIPISTON.NS,10.1877,80,1
SOMANYCERA.NS,0.8999,80,1
SONACOMS.NS,0.3845,240,1
SPAL.NS,1.2778,100,3
STARHEALTH.NS,0.6853,100,2
SUNCLAY.NS,1.8021,120,2
TECHNOE.NS,2.3896,100,1
USHAMART.NS,0.6791,80,2
VENUSPIPES.NS,3.8802,80,2
VISHNU.NS,1.148,80,1
WABAG.NS,2.5967,100,2
WIPL.NS,0.0812,100,2
WSTCSTPAPR.NS,0.6731,120,2
YATHARTH.NS,1.6727,100,1
