symbol,ps_date,lookback,poc,third_low,absorption_score
BLUESTARCO.NS,2025-10-07,320,1794.81,1708.0,3
BSOFT.NS,2025-07-03,320,393.83,423.1,1
CONTROLPR.NS,2025-12-22,140,648.38,620.55,2
DEVYANI.NS,2025-10-08,320,128.96,133.16,1
EMUDHRA.NS,2026-02-02,100,450.97,489.4,3
ESCORTS.NS,2025-12-31,320,3327.71,3203.4,2
HCC.NS,2025-10-29,220,19.65,21.74,2
HCLTECH.NS,2025-03-11,320,1498.44,1633.0,3
IITL.NS,2025-03-13,320,167.54,169.51,2
INDIGO.NS,2025-11-07,320,4773.63,5018.0,3
INFY.NS,2025-03-18,320,1453.61,1543.0,2
JYOTICNC.NS,2026-02-16,100,744.72,721.85,1
OLAELEC.NS,2025-11-10,160,34.58,35.79,1
PGHH.NS,2025-12-31,140,10364.21,10604.0,3
