symbol,score,spring_low,pullback_low
ZYDUSLIFE.NS,70,835.5,993.0
20MICRONS.NS,70,129.61,172.62
21STCENMGM.NS,70,28.25,31.87
360ONE.NS,70,906.05,1062.0
3IINFOLTD.NS,70,12.68,17.08
3MINDIA.NS,70,28730.0,30790.0
ZUARIIND.NS,70,210.0,251.75
5PAISA.NS,70,245.5,301.5
63MOONS.NS,70,467.0,638.5
ZUARI.NS,70,175.1,229.01
AADHARHFC.NS,70,430.15,468.0
XPROINDIA.NS,70,788.05,1082.1
XCHANGING.NS,70,47.5,63.0
WSTCSTPAPR.NS,70,375.0,461.8
WONDERLA.NS,70,455.0,474.05
WOCKPHARMA.NS,70,1086.7,1505.0
WIPRO.NS,70,186.5,187.0
WIPL.NS,70,133.1,147.48
WINDMACHIN.NS,70,200.65,294.65
WINDLAS.NS,70,697.4,746.55
WHIRLPOOL.NS,70,756.85,826.35
WESTLIFE.NS,70,398.4,459.55
WENDT.NS,70,5841.5,6817.0
ADFFOODS.NS,70,153.1,265.55
ADANIPORTS.NS,70,1292.0,1766.2
ADANIGREEN.NS,70,765.0,1373.1
ADANIENT.NS,70,1753.0,2661.0
ACUTAAS.NS,70,1570.0,2702.8
ACMESOLAR.NS,70,195.9,275.8
ACI.NS,70,483.0,530.9
ACEINTEG.NS,70,14.2,18.5
ACCELYA.NS,70,1012.4,1118.0
ACC.NS,70,1251.7,1340.0
AGRITECH.NS,70,92.52,106.0
AGI.NS,70,465.0,574.2
AGARWALEYE.NS,70,401.0,434.95
AGARIND.NS,70,360.0,410.0
AFFLE.NS,70,1251.3,1475.0
AETHER.NS,70,800.45,1097.5
AEROFLEX.NS,70,158.0,345.45
AEROENTER.NS,70,62.2,99.1
AEGISLOG.NS,70,576.1,646.05
ADVENZYMES.NS,70,251.95,356.0
ADVANIHOTR.NS,70,47.0,51.12
ALEMBICLTD.NS,70,70.46,88.8
ALBERTDAVD.NS,70,579.9,701.05
ALANKIT.NS,70,6.8,8.6
AKUMS.NS,70,409.3,512.65
AKSHARCHEM.NS,70,141.3,195.2
AKG.NS,70,9.08,11.0
