symbol,score,tags
360ONE.NS,55,"ABSORPTION,PHASE_D"
AARTIIND.NS,55,"ABSORPTION,PHASE_D"
ABCAPITAL.NS,55,"ABSORPTION,PHASE_D"
GODREJPROP.NS,55,"ABSORPTION,PHASE_D"
GOODYEAR.NS,55,"ABSORPTION,PHASE_D"
GRANULES.NS,55,"ABSORPTION,PHASE_D"
GREENPLY.NS,55,"ABSORPTION,PHASE_D"
EXIDEIND.NS,55,"ABSORPTION,PHASE_D"
FEDERALBNK.NS,55,"ABSORPTION,PHASE_D"
HAVELLS.NS,55,"ABSORPTION,PHASE_D"
HCLTECH.NS,55,"ABSORPTION,PHASE_D"
AGARWALEYE.NS,55,"ABSORPTION,PHASE_D"
AIIL.NS,55,"ABSORPTION,PHASE_D"
ALGOQUANT.NS,55,"ABSORPTION,PHASE_D"
UDS.NS,55,"ABSORPTION,PHASE_D"
UJJIVANSFB.NS,55,"ABSORPTION,PHASE_D"
HILTON.NS,55,"ABSORPTION,PHASE_D"
HINDPETRO.NS,55,"ABSORPTION,PHASE_D"
ERIS.NS,55,"ABSORPTION,PHASE_D"
HSCL.NS,55,"ABSORPTION,PHASE_D"
HUHTAMAKI.NS,55,"ABSORPTION,PHASE_D"
HYUNDAI.NS,55,"ABSORPTION,PHASE_D"
TANLA.NS,55,"ABSORPTION,PHASE_D"
TATVA.NS,55,"ABSORPTION,PHASE_D"
TECHM.NS,55,"ABSORPTION,PHASE_D"
TFCILTD.NS,55,"ABSORPTION,PHASE_D"
ANANTRAJ.NS,55,"ABSORPTION,PHASE_D"
TIMETECHNO.NS,55,"ABSORPTION,PHASE_D"
IIFL.NS,55,"ABSORPTION,PHASE_D"
INDIACEM.NS,55,"ABSORPTION,PHASE_D"
INDIAGLYCO.NS,55,"ABSORPTION,PHASE_D"
DLF.NS,55,"ABSORPTION,PHASE_D"
ECLERX.NS,55,"ABSORPTION,PHASE_D"
INDUSINDBK.NS,55,"ABSORPTION,PHASE_D"
INGERRAND.NS,55,"ABSORPTION,PHASE_D"
JIOFIN.NS,55,"ABSORPTION,PHASE_D"
JKIL.NS,55,"ABSORPTION,PHASE_D"
DIVISLAB.NS,55,"ABSORPTION,PHASE_D"
JSWCEMENT.NS,55,"ABSORPTION,PHASE_D"
STYL.NS,55,"ABSORPTION,PHASE_D"
APTUS.NS,55,"ABSORPTION,PHASE_D"
ARE&M.NS,55,"ABSORPTION,PHASE_D"
SUMEETINDS.NS,55,"ABSORPTION,PHASE_D"
SUNPHARMA.NS,55,"ABSORPTION,PHASE_D"
SUPERHOUSE.NS,55,"ABSORPTION,PHASE_D"
KABRAEXTRU.NS,55,"ABSORPTION,PHASE_D"
KALYANKJIL.NS,55,"ABSORPTION,PHASE_D"
KAMDHENU.NS,55,"ABSORPTION,PHASE_D"
KANORICHEM.NS,55,"ABSORPTION,PHASE_D"
CYIENTDLM.NS,55,"ABSORPTION,PHASE_D"
DALBHARAT.NS,55,"ABSORPTION,PHASE_D"
KMSUGAR.NS,55,"ABSORPTION,PHASE_D"
KOLTEPATIL.NS,55,"ABSORPTION,PHASE_D"
CRAMC.NS,55,"ABSORPTION,PHASE_D"
LAOPALA.NS,55,"ABSORPTION,PHASE_D"
LENSKART.NS,55,"ABSORPTION,PHASE_D"
LLOYDSENT.NS,55,"ABSORPTION,PHASE_D"
SMARTLINK.NS,55,"ABSORPTION,PHASE_D"
SMCGLOBAL.NS,55,"ABSORPTION,PHASE_D"
SONACOMS.NS,55,"ABSORPTION,PHASE_D"
LLOYDSME.NS,55,"ABSORPTION,PHASE_D"
LORDSCHLO.NS,55,"ABSORPTION,PHASE_D"
LXCHEM.NS,55,"ABSORPTION,PHASE_D"
CIEINDIA.NS,55,"ABSORPTION,PHASE_D"
MANAKCOAT.NS,55,"ABSORPTION,PHASE_D"
MANBA.NS,55,"ABSORPTION,PHASE_D"
