symbol,score
21STCENMGM.NS,15.0
360ONE.NS,15.0
3IINFOLTD.NS,15.0
3PLAND.NS,15.0
5PAISA.NS,15.0
63MOONS.NS,15.0
AARTISURF.NS,15.0
AARVI.NS,15.0
AAVAS.NS,15.0
ABCAPITAL.NS,15.0
ABFRL.NS,15.0
ABINFRA.NS,15.0
ACEINTEG.NS,15.0
ACL.NS,15.0
ADANIPOWER.NS,15.0
ADROITINFO.NS,15.0
ADVENZYMES.NS,15.0
AGROPHOS.NS,15.0
AHLADA.NS,15.0
AHLEAST.NS,15.0
AIRAN.NS,15.0
AIROLAM.NS,15.0
AJOONI.NS,15.0
AKASH.NS,15.0
AKG.NS,15.0
AKSHARCHEM.NS,15.0
ALANKIT.NS,15.0
ALIVUS.NS,15.0
ALLCARGO.NS,15.0
ALOKINDS.NS,15.0
ANDHRAPAP.NS,15.0
ANMOL.NS,15.0
ANTELOPUS.NS,15.0
ANURAS.NS,15.0
APCL.NS,15.0
APEX.NS,15.0
APOLLO.NS,15.0
APTECHT.NS,15.0
APTUS.NS,15.0
AQYLON.NS,15.0
ARCHIES.NS,15.0
ARENTERP.NS,15.0
ARIHANT.NS,15.0
ARIHANTCAP.NS,15.0
ARIHANTSUP.NS,15.0
AROGRANITE.NS,15.0
ARROWGREEN.NS,15.0
ARVINDFASN.NS,15.0
ASAL.NS,15.0
ASIANHOTNR.NS,15.0
ASMS.NS,15.0
ASPINWALL.NS,15.0
ASTERDM.NS,15.0
ATLANTAA.NS,15.0
ATLASCYCLE.NS,15.0
ATULAUTO.NS,15.0
AURIGROW.NS,15.0
AURUM.NS,15.0
AUTOIND.NS,15.0
AVG.NS,15.0
AWHCL.NS,15.0
AXISCADES.NS,15.0
AYMSYNTEX.NS,15.0
BAGFILMS.NS,15.0
BAJAJHIND.NS,15.0
BALKRISHNA.NS,15.0
BANDHANBNK.NS,15.0
BANKBARODA.NS,15.0
BANKINDIA.NS,15.0
BASML.NS,15.0
BCLIND.NS,15.0
BCONCEPTS.NS,15.0
BDL.NS,15.0
BECTORFOOD.NS,15.0
BESTAGRO.NS,15.0
BFUTILITIE.NS,15.0
BHEL.NS,15.0
BLS.NS,15.0
BLUECHIP.NS,15.0
BOMDYEING.NS,15.0
BOROLTD.NS,15.0
BRNL.NS,15.0
BSE.NS,15.0
BTML.NS,15.0
CAMLINFINE.NS,15.0
CANBK.NS,15.0
CAPACITE.NS,15.0
CARERATING.NS,15.0
CARTRADE.NS,15.0
CARYSIL.NS,15.0
CASTROLIND.NS,15.0
CCAVENUE.NS,15.0
CCCL.NS,15.0
CCHHL.NS,15.0
CELEBRITY.NS,15.0
CENTRALBK.NS,15.0
CENTRUM.NS,15.0
CHALET.NS,15.0
CHEMCON.NS,15.0
CHEMPLASTS.NS,15.0
CHENNPETRO.NS,15.0
CLEAN.NS,15.0
CLSEL.NS,15.0
COALINDIA.NS,15.0
COCHINSHIP.NS,15.0
COFFEEDAY.NS,15.0
COHANCE.NS,15.0
CONFIPET.NS,15.0
CONTROLPR.NS,15.0
CORALFINAC.NS,15.0
COUNCODOS.NS,15.0
CRAFTSMAN.NS,15.0
CREATIVEYE.NS,15.0
CROWN.NS,15.0
CSBBANK.NS,15.0
CUPID.NS,15.0
DAMODARIND.NS,15.0
DANGEE.NS,15.0
DBCORP.NS,15.0
DBL.NS,15.0
DBREALTY.NS,15.0
DBSTOCKBRO.NS,15.0
DEEPINDS.NS,15.0
DELTACORP.NS,15.0
DEN.NS,15.0
DEVYANI.NS,15.0
DHANBANK.NS,15.0
DIACABS.NS,15.0
DIAMONDYD.NS,15.0
DIGJAMLMTD.NS,15.0
DNAMEDIA.NS,15.0
DODLA.NS,15.0
DOLATALGO.NS,15.0
DOLLAR.NS,15.0
DOLPHIN.NS,15.0
DPSCLTD.NS,15.0
DRCSYSTEMS.NS,15.0
DREDGECORP.NS,15.0
DTIL.NS,15.0
DYNPRO.NS,15.0
EASEMYTRIP.NS,15.0
EIFFL.NS,15.0
EKC.NS,15.0
ELECTCAST.NS,15.0
ELECTHERM.NS,15.0
ELGIRUBCO.NS,15.0
EMBDL.NS,15.0
ENERGYDEV.NS,15.0
